matchup,page,date,content_type,collection,record_id,status,confidence,reason
West Herts v Frogmore,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Fleetwood's XI v W Young's XI,119,18950727,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Cannon Brewery v M B Foster and Sons,120,18950805,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Gentlemen of Herts v G H Wailes XI,120,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.6,Team 1 verified; Team 2 partial
Roamers v Abbots Langley,120,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
St. Albans match list,121,18950800,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['St.'; 'Albans'; 'match']
St Albans Second XI v Frogmore Second XI,122,18950803,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (1/2); t2:contracted)
Abbots Langley,125,18950800,newspaper cuttings,Tony Webb minor counties collection,,VERIFIED,0.7,Newspaper cutting entry
Bushey,125,18950800,newspaper cuttings,Tony Webb minor counties collection,,VERIFIED,0.7,Newspaper cutting entry
West Herts,125,18950800,newspaper cuttings,Tony Webb minor counties collection,,VERIFIED,0.7,Newspaper cutting entry
Bedfordshire v Hertfordshire,127,18950812,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
MCC v Hertfordshire,127,18950814,match information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 2 verified; Team 1 not fully found
Roamers v Pinner,132,18950817,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Herts v Surrey,138,18950627,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
W H Nicholls' XI v F G Galloway XI,139,18950913,match information,Tony Webb minor counties collection,,VERIFIED,0.6,Team 1 verified; Team 2 partial
Welwyn C.C. season information,140,18950000,season information,Tony Webb minor counties collection,,VERIFIED,0.6,Season context found
Baldock C.C. player statistics,140,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Baldock'; 'C.C.'; 'player']
Hitchin Blue Cross Temperance Brigade C.C. player statistics,140,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Hitchin'; 'Blue'; 'Cross'; 'Temperance']
Hitchin C.C. player statistics,140,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Hitchin'; 'C.C.'; 'player']
Welwyn C.C. player statistics,140,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Welwyn'; 'C.C.'; 'player']
Baldock C.C. match list,140,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Baldock'; 'C.C.'; 'match'; 'list']
Hitchin Blue Cross Temperance Brigade C.C. match list,140,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Hitchin'; 'Blue'; 'Cross'; 'Temperance']
Hitchin C.C. match list,140,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Hitchin'; 'C.C.'; 'match'; 'list']
Hatfield match list,141,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Hatfield'; 'match'; 'list']
Hertford Caxtonian match list,141,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Hertford'; 'Caxtonian'; 'match'; 'list']
Lilley match list,141,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Lilley'; 'match'; 'list']
Silsoe match list,141,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Silsoe'; 'match'; 'list']
Rowles's XI v Astill's XI,143,18950613,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:eleven; t2:eleven)
Is E Tomlin to Qualify for Somersetshire,143,18950615,newspaper cuttings,Tony Webb minor counties collection,,VERIFIED,0.7,Newspaper cutting entry
County Cricket Championship results,144,18950617,league information,Tony Webb minor counties collection,,VERIFIED,0.7,League table structure found
Lincolnshire fixtures,146,18950000,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Swinderby And Collingham v Lincoln V Lindum,146,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Lincoln Lindum A Team v Bishop's Hostel,147,18950622,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
Gunton v W E Hansell's XI,149,18950819,match information,Tony Webb minor counties collection,,VERIFIED,0.6,Team 1 verified; Team 2 partial
Belvoir And District v Grantham Town,153,18950516,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Belvoir v Grantham Town,153,18950822,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bingham v Grantham Town,153,18950511,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bottesford Bible Class v Grantham Town,153,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bourne v Grantham Town,153,18950525,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Buckminster v Grantham Town,153,18950511,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Easton v Grantham Town,153,18950801,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Eastwood v Grantham Town,153,18950803,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Grantham Amateurs v Grantham Town,153,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Grantham Grammar School v Grantham Town,153,18950518,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Grantham Post Office v Grantham Town,153,18950613,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Lincoln Lindum v Grantham Town,153,18950608,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Long Bennington v Grantham Town,153,18950615,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Newark v Grantham Town,153,18950518,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Notts Castle v Grantham Town,153,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
Notts St Andrews v Grantham Town,153,18950504,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
Sleaford v Grantham Town,153,18950622,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Spalding v Grantham Town,153,18950523,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
St Peter's College v Grantham Town,153,18950506,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
Stamford Commercial v Grantham Town,153,18950615,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Willoughby Park v Grantham Town,153,18950525,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Woodthorpe v Grantham Town,153,18950815,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Newport Cricket Club player statistics,158,18950900,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Newport'; 'Cricket'; 'Club']
Newport Cricket Club match list,158,18950907,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Newport'; 'Cricket'; 'Club'; 'match']
Archibald v South Yarmouth,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Brinton v Bayfield,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Buxton Lamas v Oulton and Blickling,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Coltishall v O E Y M S Second,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Guild v Westwick,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Hethersett v Mulbarton,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
King's Lynn Second v Dersingham,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Kingsley Second v New City,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Lowestoft v Yarmouth B A,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
New City v Eaton,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Norwich and London Captain's Eleven v Vice-Captain's Eleven,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
Oarrow v Drayton,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Old Catton v Norman & Beard's,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Stanley v Victoria,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Sutton Valence Wanderers v Bury and West Suffolk,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Sutton Valence Wanderers v Gunton,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Thorpe Hamlet v Calay & Son's,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Thorpe Village v Cameron-Wellington,162,18950801,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Tivetford v Quidenham Park,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Trowse v Guild,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Upper Sheringham v Overstrand,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Wymondham v St Mark's,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Yarmouth Mechanics v E N H,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Yarmouth Temple v Howlett & White's,162,18950803,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
O E Y M S v Churchmen,162,18950729,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
GL Jessop player statistics,162,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Jessop'; 'player']
Field Dalling match list,162,18950000,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Field'; 'Dalling'; 'match']
Oulton And Blo'king v Catfield,163,18950730,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Din's Land v Y M C A,166,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Hathersett v Guild,166,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Honingham v St Mark's,166,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Ladies And Gentlemen Match At Coltishall,166,18950800,match information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Lord Grey De Wilton's XI,166,18950800,match information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Lowestoft v Mechanics,166,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Lowestoft v Visitors,166,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Yarmouth v Diss,166,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Norwich Week,166,18950800,newspaper cuttings,Tony Webb minor counties collection,,VERIFIED,0.7,Newspaper cutting entry
Carrow Second v Y M C A,167,18950824,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Norwich Week 1895 Summary,167,18950800,match information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Quidenham Park v Diss Second,167,18950824,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
South Heigham Institute v Howlett & White's Second,167,18950824,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
West Newton v King's Lynn Second,167,18950824,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Yarmouth St Andrew's v Mechanics Second,167,18950824,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Ustrand v Norman And Beard's,169,18950824,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (2/2))
Fixture list,171,18950902,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Oxfordshire v Burton's XI,171,18950800,match information,Tony Webb minor counties collection,,VERIFIED,0.6,Team 1 verified; Team 2 partial
Wellingborough Grammar School Boys XI Under 14 team aggregates,174,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Wellingborough'; 'Grammar'; 'School'; 'Boys']
Wellingborough Grammar School Second XI team aggregates,174,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Wellingborough'; 'Grammar'; 'School'; 'Second']
Wellingborough Grammar School team aggregates,174,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Wellingborough'; 'Grammar'; 'School']
Wellingborough Masters team aggregates,174,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Wellingborough'; 'Masters']
Wellingborough Grammar School Part Second XI v Present Second XI,175,18950802,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (5/5); t2:contracted)
Bosworth-Smith's XI v Thame,181,18950624,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Jesus College v C H Hull's XI,181,18950622,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Wallingford XI v Aston Rowant,181,18950622,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Abingdon v City,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bosworth-Smith's XI v Thame,182,18950622,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Clarendon Press v EOCC,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 1 verified; Team 2 not fully found
Corporation v St Barnabas,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Cowley Barracks v Hull's XI,182,18950622,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Jesus College v Thame,182,18950622,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Littlemore Asylum v St Paul's,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Peppard v Henley,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
St Barnabas Second XI v Corporation Second XI,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (2/2); t2:contracted)
St Paul's Second XI v Victoria Second XI,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (2/2); t2:contracted)
Star v Cowley St John,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Summertown v Clarendon Second XI,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:contracted)
YMCA v Star Second XI,182,18950629,match information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 2 verified; Team 1 not fully found
Goring v Moulford Asylum,184,18950720,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (1/2))
Bedfordshire v Oxfordshire,186,18950816,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Burford Orbit v Oriel And Corpus College Servants,186,18950814,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Cheltenham Corporation Employees v Corporation,186,18950810,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Ifley v Star Second XI,186,18950800,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (2/2))
M Langham's XI v Gentlemen Of Wantage,186,18950816,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
OCC v Victoria,188,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
DAC v Holloway's XI,190,18950800,match information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 2 verified; Team 1 not fully found
DAC v St Barnabas,190,18950800,match information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 2 verified; Team 1 not fully found
EOCC v St Paul's,190,18950822,match information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 2 verified; Team 1 not fully found
Oxford And Cambridge Servants v Cambridge And Oxford Servants,190,18950822,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (3/3))
Oxford And Cambridge Servants,191,18950800,match information,Tony Webb minor counties collection,,VERIFIED,0.8,Matchup text found in source
Lord Jersey's XI v City,193,18950824,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Tubb's XI v City,193,18950830,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Sporting Notes,193,18950831,newspaper cuttings,Tony Webb minor counties collection,,VERIFIED,0.7,Newspaper cutting entry
City Second XI v Clarendon Press,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (2/2); t2:direct)
Clarendon Press Second XI v St Paul's Second XI,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:partial (3/3); t2:partial (2/2))
College Servants v Corporation,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Corporation Second XI v Iffley,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:contracted; t2:direct)
Cowley Barracks v Star,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
DAC v Victoria,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 2 verified; Team 1 not fully found
FOLC v EOCO,199,18950914,fixture information,Tony Webb minor counties collection,,INVALID,0.2,Neither team found
Grandpont v YMCA,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 1 verified; Team 2 not fully found
Headington Quarry Second XI v Cowley St John Second XI,199,18950914,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:contracted; t2:partial (3/3))
