matchup,page,date,content_type,collection,record_id,status,confidence,reason
Truro Cricket Club team information,68,18951003,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Truro'; 'Cricket'; 'Club'; 'team']
Perranworth v Hilston,69,18950705,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Cornwall County v Plymouth And District,71,18950720,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Cricket Fixtures August,74,18950800,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Devon County Asylum v W Newbery's XI,75,18950817,match information,Tony Webb minor counties collection,,VERIFIED,0.6,Team 1 verified; Team 2 partial
Bournemouth team aggregates,80,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.6,Content keyword 'average' found
Pylewell Park batting averages,80,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Pylewell'; 'Park'; 'batting'; 'averages']
Pylewell Park bowling averages,80,18950000,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Pylewell'; 'Park'; 'bowling'; 'averages']
Fixture Information,81,18950800,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Arnold College Cricket Club team aggregates,81,18950800,statistics,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Arnold'; 'College'; 'Cricket'; 'Club']
North Durham First v Rookcliff First,83,18950527,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:contracted; t2:contracted)
Hetton Lyons Club pavilion opening,84,18950601,article,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Hetton Lyons v M Ross' Sixteen,84,18950601,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:partial (2/2))
Sunderland II v South Shields II,85,18950629,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
A Browne's XI v H J Salmon's XI,91,18950902,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bewicke's XI v F C R Clayton's XI,91,18950828,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Clayton's XI v R G Mortimer's XI,91,18950829,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Barry v Charles-street,93,18950720,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
St James v Alpha,93,18950720,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:normalized; t2:direct)
YMCA v Cathays,93,18950720,fixture information,Tony Webb minor counties collection,,VERIFIED,0.5,Team 2 verified; Team 1 not fully found
Cardiff and District League match list,93,18950713,league information,Tony Webb minor counties collection,,INVALID,0.3,Could not verify in source
Brynmawr match list,96,18950700,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Hereford Cathedral School match list,96,18950700,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Hereford County College match list,96,18950700,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Herefordshire Club and Ground match list,96,18950700,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Ludlow and South Shropshire match list,96,18950700,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Lugwardine and Withington match list,96,18950700,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
First-class fixtures July and August,100,18950727,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
First-class matches August 1895,102,18950800,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Herefordshire Club and Ground fixture list,102,18950800,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Herefordshire'; 'Club'; 'and'; 'Ground']
Glamorganshire v V T Hill's XI,103,18950809,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Lugwardine And Withington v H D L Barker's XI,103,18950810,match information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:normalized)
Minor counties fixture list,104,18950810,fixture information,Tony Webb minor counties collection,,VERIFIED,0.8,Fixture info found
Herefordshire Club and Ground fixture list,104,18950810,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Herefordshire'; 'Club'; 'and'; 'Ground']
Worcestershire fixture list,104,18950810,team information,Tony Webb minor counties collection,,VERIFIED,0.8,Key terms found: ['Worcestershire'; 'fixture']
CR Dansey XI v CE Bagot XI,105,18950820,match information,Tony Webb minor counties collection,,INVALID,0.2,Neither team found
Leighton Westbury,106,18950819,newspaper cuttings,Tony Webb minor counties collection,,VERIFIED,0.7,Newspaper cutting entry
Arkley v Barnet,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Ashleigh v Hadley,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Barnet A v Arkley,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Barnet First XI v South Hampstead,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:contracted; t2:direct)
Brewery v Roamers,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bushey Grove v Apsley,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bushey Police v Euston Staff,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Bushey v Northwood,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Cannon Brewery v Harefield,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Croxley v Boxmoor,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Finchley A v Tottenham,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Finchley B v Tottenham Second XI,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:contracted)
Melrose v New Bushey,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Permanent Way v The Grove,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Stareo A v New Southgate,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:direct)
Stereo B v New Southgate Second XI,109,18950601,fixture information,Tony Webb minor counties collection,,VERIFIED,0.9,Both teams verified (t1:direct; t2:contracted)
